Player,Rundle,Place,Wins,Losses,Total Points,Point Differential,Correct Answers,Accuracy
CrewsC,Rundle E,15,9,11,45,-10,35,0.23333333333333334
GeneslawL,Rundle E,14,8,11,37,-16,29,0.19333333333333333
GolnerC,Rundle D,7,12,8,80,20,68,0.4533333333333333
IndurskyJ,Rundle E,16,9,12,30,-17,31,0.20666666666666667
JeffreyS,Rundle E,9,12,9,37,-11,41,0.2733333333333333
KatterD,Rundle A,9,12,8,164,27,119,0.7933333333333333
KnightK17,Rundle B,30,3,21,86,-60,68,0.4533333333333333
LarewN,Rundle D,13,8,8,60,-7,55,0.36666666666666664
LiptakK,Rundle D,14,10,10,78,5,61,0.4066666666666667
MartinY,Rundle E,8,13,11,62,9,53,0.35333333333333333
RiceE3,Rundle R,26,3,20,51,-46,43,0.2866666666666667
RuenesR,Rundle E,22,3,15,29,-30,30,0.2
SteinJ5,Rundle B,9,12,10,153,13,112,0.7466666666666667
WarcholS,Rundle C,11,10,13,101,-11,75,0.5
WildenhainE,Rundle D,8,12,9,72,-4,58,0.38666666666666666
YadamaS,Rundle C,16,8,13,94,-13,72,0.48
